Company;Salary;HN;HCM;else;Engineer;Manager;Dev;Administrator;Tester;Designer;Support;Analyst;Scientist;.NET;JavaScript;ASP.NET;iOS;Android;DevOps;AWS;Angular;Tester;QA QC;SQL;ERP;C++;Embedded;Oracle;Agile;Database;PHP;Drupal;Python;ReactJS;UI-UX;Cloud;React Native;Java;Spring;System;Linux;OpenStack;OOP;NodeJS;Unity;C#;Games;Azure;Data Analyst;Ruby;TypeScript;J2EE;VueJS;Kotlin;MySQL;Laravel;Networking;NoSQL;MVC;Golang;Blockchain;Automation Test;Ruby on Rails;Objective C;Swift;CSS;HTML5;Bridge;Solidity;Scala;Scrum;PostgreSql;Cocos;Django;SAP;COBOL;Flutter;AngularJS;Dart;JQuery;Magento;SAS;JSON;System;Years of experience;Bachelor;Experience level;QUALIFICATIONS;URL
City Ascom Việt Nam;58;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;['có ít nhất 1 năm kinh nghiệm ở vị trí tương đương', 'tiếng nhật trình độ tương đương n2, giao tiếp tốt', 'có kinh nghiệm và thành thạo một trong những ngôn ngữ lập trình java/php,…', 'có thể đọc, viết specs, bản thiết kế bằng tiếng nhật', 'ưu tiên các ứng viên đã từng làm việc tại nhật'];https://itviec.com/viec-lam-it/ky-su-cau-noi-brse-java-php-2500-city-ascom-viet-nam-4941?lab_feature=preview_jd_page
CMC Sai Gon Technology & Solution;46.5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;['3+ years of direct oracle dba experience working with database environments on oracle database.\xa0', 'customer focused, business driven, and strong interpersonal skills with the ability to build strong networks.', 'ability to work effectively in a team environment to encourage collaboration, innovation, and continuous improvement.', 'responsible for upgrades, performance monitoring, installations, managing replications, diagnosing system problems, disaster recovery testing and maintaining user accessibility.', 'oracle certified professional (ocp) is highly preferred.'];https://itviec.com/viec-lam-it/senior-oracle-database-administrator-cmc-sai-gon-technology-solution-3402?lab_feature=preview_jd_page
Optimizely (formerly Episerver);58.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;['• proven experience with aws/azure cloud infrastructure and devops\xa0', '• experience using kubernetes to build containerized applications\xa0', '• experience building secure multi-tier web applications\xa0', '• experience configuring continuous integration and continuous delivery (ci/cd) systems such as teamcity\xa0', '• proficiency with databases such as sql server, postgres, and mongodb\xa0', '• proficiency with elk\xa0', '• strong desire to learn and collaborate with the team\xa0', '• must have a strong passion for continuous improvement\xa0', '• ability to work with remote coworkers in other time zones\xa0', '• familiarity with agile development methodologies such as scrum\xa0', '• fluent in english both written and oral\xa0', 'bonus points:\xa0', '• experience building scalable multi-region applications\xa0', '• proficiency scripting/programming like powershell, bash, or python\xa0', '• experience configuring software monitoring tools such as data dog, kibana, elk, etc.\xa0', '• proficiency using configuration management tools such as terraform'];https://itviec.com/viec-lam-it/senior-site-reliability-engineer-devops-aws-optimizely-formerly-episerver-0428?lab_feature=preview_jd_page
MONEY FORWARD VIETNAM CO.,LTD;63.5;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;1;['must-have', 'nice-to-have', '6+ years experience in testing (at least 3 years of experience in leading)', 'experience with designing, planning and implementing test scenarios, and leading software qa processes', 'experience with api testing, database testing', 'experience with security basic testing', 'experience with jira or other project tracking tools', 'experience with scrum', 'knowledge of web services, its common http methods and json formats', 'good communication skill in english', 'strong sense of ownership', 'experience in automation testing tools/frameworks such as selenium, robot framework, cypress or playwright', 'experience in programming languages like java, python, or javascript', 'experience with performance testing (jmeter, k6)'];https://itviec.com/viec-lam-it/qa-qc-leader-money-forward-vietnam-co-ltd-5028?lab_feature=preview_jd_page
Restaff – House Of Norway;40.5;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;['your skills and experience', 'required experience:\u200b', '\u200b', 'good to have:', 'your skills and experience', 'required experience:\u200b', 'good to have:', 'at least 2 years working experience with selenium (web driver)', 'deep experience in building automation frameworks for web applications and good knowledge in page object model design', 'experienced with java, javascript', 'experienced with api testing (restful api, postman, rest assured)', 'experienced with ms sql server.', 'familiar with ant/jenkin/azure devops', 'good knowledge of automation framework', 'good at communication using english, ability to explain and discuss technical issues.\u200b\n', 'knowledge of opencv, web api, javascript is big bonus', 'experience in testing svg image is plus point', 'experienced in scrum team', 'knowledge of security/load test', 'experienced in european company.'];https://itviec.com/viec-lam-it/mid-senior-automation-test-engineer-english-restaff-house-of-norway-4614?lab_feature=preview_jd_page
IMIP Technology And Solution Consultancy;25.5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;['lập trình thành thạo với ngôn ngữ java', 'có kinh nghiệm làm việc với spring, spring boot, jpa, hibernate', 'có kiến thức cơ bản về thuật toán, cấu trúc dữ liệu và thiết kế đối tượng', 'quen thuộc với các quy trình như agile/scrum, waterflow', 'có kinh nghiệm về network programming, embedded development là lợi thế', 'có kiến thức về docker, k8s, cloud là lợi thế', 'lập trình thành thạo với ngôn ngữ java', 'có kinh nghiệm làm việc với spring, spring boot, jpa, hibernate', 'có kinh nghiệm lập trình với ngôn ngữ tcl và toolkit tk', 'quen thuộc với các thư viện và extension cho tcl/tk như tklib, tcllib, tdbc…', 'có kiến thức cơ bản về thuật toán, cấu trúc dữ liệu và thiết kế đối tượng', 'quen thuộc với các quy trình như agile/scrum, waterflow', 'có kinh nghiệm về network programming, embedded development là lợi thế', 'có kiến thức về docker, k8s, cloud là lợi thế'];https://itviec.com/viec-lam-it/senior-java-developer-tcl-tk-imip-technology-and-solution-consultancy-5255?lab_feature=preview_jd_page
Humax Vietnam;29.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;['bachelor of science in computer engineering, computer science, electrical engineering, or similar field', '2+ years experience developing on and for embedded system using c (or c++)', 'strong c programming skills with good understanding of\xa0embedded\xa0linux', 'ability to learn quickly, analyze system designs, and propose solutions', 'good communication and written skills', 'experience with wired and wireless networking technologies including ethernet, wifi, and wireless sensor networks', 'board bring-up and bootloader experience for\xa0', '\xa0or\xa0', '\xa0systems', 'experience with containerized platforms (docker, kubernetes, etc.)', 'experience supporting technology deployed to the field (consumer, industrial, or other).', 'knowledge\xa0', '\xa0inter task/thread/process communication\xa0', '\xa0abstraction layer, os abstraction layer and ability to develop software that uses these', 'ability to seek truth in creative problem solving - addressing the root cause, and not its symptoms', 'what you must have:', 'bonus points', 'bachelor of science in computer engineering, computer science, electrical engineering, or similar field', '2+ years experience developing on and for embedded system using c (or c++)', 'strong c programming skills with good understanding of\xa0embedded\xa0linux', 'ability to learn quickly, analyze system designs, and propose solutions', 'good communication and written skills', 'experience with other languages: c++, python, bash, javascript …', 'experience with networking, tcp/ip, wifi, lte, …', 'familiarity with hardware', 'experience with git, gerrit, jira\n', 'experience with embedded build systems, such as buildroot, yocto, openwrt\xa0or\xa0rdk-b', 'experience with wired and wireless networking technologies including ethernet, wifi, and wireless sensor networks', '\nboard bring-up and bootloader experience for\xa0mips\xa0or\xa0arm based\xa0systems\n', 'experience with containerized platforms (docker, kubernetes, etc.)', 'experience supporting technology deployed to the field (consumer, industrial, or other).', '\nknowledge\xa0about\xa0inter task/thread/process communication\xa0paradigms, hardware\xa0abstraction layer, os abstraction layer and ability to develop software that uses these\n', 'ability to seek truth in creative problem solving - addressing the root cause, and not its symptoms'];https://itviec.com/viec-lam-it/embedded-engineer-c-c-linux-upto-1800-humax-vietnam-4901?lab_feature=preview_jd_page
Lotte Data Communicaton Co., Ltd Vietnam;22.0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;1;['at least 3 years of experience in mobile or web development', 'experience with writing java, kotlin, swift, objective-c and dart code.', 'require solid experience with app layouts', 'require prior experience with rest or graphql.', 'work with databases: room, sqlite, realm, use of orm libraries.', 'good experiences in building and managing build and ci/cd tools (gradle, fastlane/ bitrise)', 'reactive programming like rxjava, rxswift is plus', 'good knowledge and practical experiences with architectural patterns - clean architecture, mvvm...', 'knowledge software development life-cycle', 'hands-on experience with app performance and optimization.', 'professional and ethical behaviors', 'critical thinker and problem solving skill', 'great interpersonal and communication skills', 'good at both verbal and written communication skill'];https://itviec.com/viec-lam-it/mobile-developer-lotte-data-communicaton-co-ltd-vietnam-3347?lab_feature=preview_jd_page
CÔNG TY TNHH JV-IT TECHS;37.0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['có kinh nghiệm sử dụng typescript hoặc python.\xa0', 'có kinh nghiệm làm việc với chatgpt prompt.\xa0', 'yêu thích ứng dụng ai để giải quyết nhiều vấn đề khác.\xa0', 'thường xuyên cập nhật công nghệ mới nhất.\xa0', 'có kinh nghiệm với html, css, javascript, vuejs, nuxtjs.\xa0', 'có kinh nghiệm sử dụng typescript hoặc python.\xa0', 'có kinh nghiệm làm việc với chatgpt prompt.\xa0', 'yêu thích ứng dụng ai để giải quyết nhiều vấn đề khác.\xa0', 'thường xuyên cập nhật công nghệ mới nhất.\xa0', 'có kinh nghiệm với html, css, javascript, vuejs, nuxtjs.\xa0', 'ưu tiên ứng viên có kiến thức về firebase, supabase hoặc nền tảng tương tự.', 'ưu tiên ứng viên có kiến thức về chatbot cho discord, telegram,...', 'có khả năng làm việc độc lập và làm việc trong nhóm.', 'yêu thích việc khám phá công nghệ mới.\xa0'];https://itviec.com/viec-lam-it/full-remote-hybrid-lap-trinh-vien-llms-app-cong-ty-tnhh-jv-it-techs-0317?lab_feature=preview_jd_page
Piscada;40.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;['tasks:', '\xa0', 'qualifications:', 'html5 / typescript development (highly skilled)', 'react/redux', 'responsive design', 'master in software engineering. experience can compensate for lower academic level', 'familiar with user interaction', 'experience: 1+ years of relevant experience'];https://itviec.com/viec-lam-it/frontend-developer-reactjs-piscada-0414?lab_feature=preview_jd_page
