Company;Salary;HN;HCM;else;Engineer;Manager;Dev;Administrator;Tester;Designer;Support;Analyst;Scientist;.NET;JavaScript;ASP.NET;iOS;Android;DevOps;AWS;Angular;Tester;QA QC;SQL;ERP;C++;Embedded;Oracle;Agile;Database;PHP;Drupal;Python;ReactJS;UI-UX;Cloud;React Native;Java;Spring;System;Linux;OpenStack;OOP;NodeJS;Unity;C#;Games;Azure;Data Analyst;Ruby;TypeScript;J2EE;VueJS;Kotlin;MySQL;Laravel;Networking;NoSQL;MVC;Golang;Blockchain;Automation Test;Ruby on Rails;Objective C;Swift;CSS;HTML5;Bridge;Solidity;Scala;Scrum;PostgreSql;Cocos;Django;SAP;COBOL;Flutter;AngularJS;Dart;JQuery;Magento;SAS;JSON;System;Years of experience;Bachelor;Experience level;QUALIFICATIONS;URL
Công Ty TNHH Phát Triển Thực Phẩm Ifood Việt Nam;14.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['– quản trị, vận hành hệ thống website của công ty, khắc phục khi có sự cố', '– quản lý domain, hosting, backup dữ liệu,…', '– thiết kế, xây dựng và phát triển website giới thiệu công ty, dịch vụ, website bán hàng,…', '– có thể code được website theo theme có sẵn hoặc code được theme mới mà không phụ thuộc nhiều vào plugin', '– phối hợp cùng seo trong việc phát triển website vệ tinh (pbn)', '– tối ưu tốc độ tải trang, thêm mới sửa đổi giao diện, module, tính năng web,… theo yêu cầu', '– code website sử dụng ngôn ngữ php-mysql, html/css/javascripts,…', '– hỗ trợ một số công việc cho seoer (sẽ được hướng dẫn cụ thể)', '– trao đổi cụ thể hơn khi phỏng vấn'];https://jobsgo.vn/viec-lam/nhan-vien-lap-trinh-web-wordpress-15419144606.html
Công Ty TNHH Truyền Thông Sky Ads Việt Nam;30.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['- quản trị và xây dựng hệ thống giới thiệu về game của công ty', '- xây dựng các chức năng cần thiết cho quảng cáo', '- các công việc chi tiết trao đổi qua phỏng vấn'];https://jobsgo.vn/viec-lam/full-stack-wordpress-php-developer-15475198718.html
Công Ty Cổ Phần Công Nghệ Dữ Liệu Dagoras;6.0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['lập trình api sử dụng spring boot framework.', 'thiết kế, xây dựng hệ thống xử lý logic, thao tác với cơ sở dữ liệu.', 'phối hợp chặt chẽ với nhóm lập trình để công việc hoàn thành đúng thời hạn, thống nhất theo yêu cầu dự án'];https://jobsgo.vn/viec-lam/fresher-backend-java-15466847633.html
Công Ty Cổ Phần Công Nghệ Dữ Liệu Dagoras;10.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['• tham gia dự án thực tế về data science, ai, machine learning trong lĩnh vực tài chính, viễn thông, ngân hàng, bảo hiểm, v.v..• tham gia các dự án phân tích dữ liệu & hành vi người dùng trên hệ thống để hiểu được insight• nghiên cứu các mô hình ml & dl cơ bản áp dụng cho các bài toán trong lĩnh vực tài chính, viễn thông, ngân hàng, bảo hiểm v.v..'];https://jobsgo.vn/viec-lam/data-scientist-15466861212.html
Công Ty Cổ Phần Công Nghệ Dữ Liệu Dagoras;6.0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['lập trình api sử dụng spring boot framework.', 'thiết kế, xây dựng hệ thống xử lý logic, thao tác với cơ sở dữ liệu.', 'phối hợp chặt chẽ với nhóm lập trình để công việc hoàn thành đúng thời hạn, thống nhất theo yêu cầu dự án'];https://jobsgo.vn/viec-lam/fresher-backend-java-15466834054.html
Công Ty TNHH Đầu Tư Phát Triển BiTech;18.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['- tham gia phân tích, thiết kế và xây dựng các module, service cho hệ thống microservices lưu trữ, quản lý và khai thác dữ liệu.', '- cung cấp restful api cho các front-end application.', '- xác định lỗi và các vấn đề khác còn tồn tại của hệ thống backend, đề xuất giải pháp và tham gia vào quá trình khắc phục lỗi.', '- phân tích và cải thiện, tăng tốc độ xử lý và tính ổn định của hệ thống, đảm bảo hiệu năng với lượng dữ liệu lớn.', '- thực hiện unit test cho các module, services đã phát triển.'];https://jobsgo.vn/viec-lam/backend-developer-15457247280.html
Công Ty Cổ Phần Hệ Thống Y Tế Smedicare;25.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[' mảng data: (70%)', ' phần hạ tầng/it support: (30%)', '- tham gia xây dựng và quản trị các hệ thống danh mục, master data. tham gia cấu trúc, chuẩn hóa các luồng dữ liệu', '- kết nối dữ liệu giữa các hệ thống crm, hệ thống kcb và các nền tảng khách hàng khác', '- thiết lập các chỉ số tracking kinh doanh/mkt hàng tuần, hàng tháng, đưa ra cảnh báo và dự báo', '- triển khai xây dựng và tự động hóa hệ thống báo cáo, chi tiết cho ban giám đốc công ty và các cấp quản lý để theo dõi hiệu suất và công việc kinh doanh, vận hành', '- sử dụng các công cụ bi (power bi, data studio…) để thiết kế hệ thống báo cáo cho các bộ phận kinh doanh và vận hành trong công ty.', '- đề xuất các công cụ, các cấu trúc và luồng dữ liệu hoặc phương án nâng cao việc tự động hóa và tính chính xác của báo cáo', '- hỗ trợ nhân sự dưới cơ sở trong việc quản lý, phân chia đầu việc vận hành', '- thẩm định các phương án đề xuất về dịch vụ công nghệ, hạ tầng, thiết bị', '- định hướng nhân sự it dưới cơ sở dưới góc độ data'];https://jobsgo.vn/viec-lam/chuyen-vien-phan-tich-du-lieu-data-15396250412.html
Công ty cổ phần KidsOnline;16.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['- tham gia phát triển các sản phẩm của công ty- phân tích yêu cầu hệ thống, thiết kế hệ thống, thiết kế db.- tham gia nghiên cứu và định hướng về công nghệ mới.- xây dựng ứng dụng thành các framework/module chuẩn- tiếp nhận và đánh giá, tư vấn các công nghệ có thể áp dụng vào dự án- quản lý công việc và hỗ trợ kỹ thuật, kỹ năng lập trình cho các thành viên trong team'];https://jobsgo.vn/viec-lam/lap-trinh-vien-php-15452481051.html
Công ty Cổ phần VTC Truyền thông Trực tuyến;20.0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['vận hành, bảo trì hệ thống network (cisco, checkpoint,...)', 'vận hành, bảo trì hệ thống server (ibm, hp, dell,...)', 'vận hành, bảo trì hệ thống storage (ibm, vmware,...)', 'pabx/ tổng đài', 'vận hành hệ thống ảo hóa vmware vsphere, nutanix ahv', 'am hiểu hệ thống cloud (aws, gcp,...)', 'triển khai các hệ thống cung cấp dịch vụ: ad, dhcp, dns, mail, v.v…', 'vận hành hệ thống loadbalancer: vmware avi, citrix adc, haproxy', 'vận hành hệ thống giám sát: prometheus + grafana, elk,....'];https://jobsgo.vn/viec-lam/system-engineer-ky-su-he-thong-thu-nhap-tu-15-25tr-15449181354.html
JobsGO Recruit;14.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['– quản trị, vận hành hệ thống website của công ty, khắc phục khi có sự cố', '– quản lý domain, hosting, backup dữ liệu,…', '– thiết kế, xây dựng và phát triển website giới thiệu công ty, dịch vụ, website bán hàng,…', '– có thể code được website theo theme có sẵn hoặc code được theme mới mà không phụ thuộc nhiều vào plugin', '– phối hợp cùng seo trong việc phát triển website vệ tinh (pbn)', '– tối ưu tốc độ tải trang, thêm mới sửa đổi giao diện, module, tính năng web,… theo yêu cầu', '– code website sử dụng ngôn ngữ php-mysql, html/css/javascripts,…', '– hỗ trợ một số công việc cho seoer (sẽ được hướng dẫn cụ thể)', '– trao đổi cụ thể hơn khi phỏng vấn'];https://jobsgo.vn/viec-lam/nhan-vien-lap-trinh-web-wordpress-15446071763.html
