Company;Salary;HN;HCM;else;Engineer;Manager;Dev;Administrator;Tester;Designer;Support;Analyst;Scientist;.NET;JavaScript;ASP.NET;iOS;Android;DevOps;AWS;Angular;Tester;QA QC;SQL;ERP;C++;Embedded;Oracle;Agile;Database;PHP;Drupal;Python;ReactJS;UI-UX;Cloud;React Native;Java;Spring;System;Linux;OpenStack;OOP;NodeJS;Unity;C#;Games;Azure;Data Analyst;Ruby;TypeScript;J2EE;VueJS;Kotlin;MySQL;Laravel;Networking;NoSQL;MVC;Golang;Blockchain;Automation Test;Ruby on Rails;Objective C;Swift;CSS;HTML5;Bridge;Solidity;Scala;Scrum;PostgreSql;Cocos;Django;SAP;COBOL;Flutter;AngularJS;Dart;JQuery;Magento;SAS;JSON;System;Years of experience;Bachelor;Experience level;QUALIFICATIONS;URL
Công Ty TNHH Phát Triển Thực Phẩm Ifood Việt Nam;14.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['– quản trị, vận hành hệ thống website của công ty, khắc phục khi có sự cố', '– quản lý domain, hosting, backup dữ liệu,…', '– thiết kế, xây dựng và phát triển website giới thiệu công ty, dịch vụ, website bán hàng,…', '– có thể code được website theo theme có sẵn hoặc code được theme mới mà không phụ thuộc nhiều vào plugin', '– phối hợp cùng seo trong việc phát triển website vệ tinh (pbn)', '– tối ưu tốc độ tải trang, thêm mới sửa đổi giao diện, module, tính năng web,… theo yêu cầu', '– code website sử dụng ngôn ngữ php-mysql, html/css/javascripts,…', '– hỗ trợ một số công việc cho seoer (sẽ được hướng dẫn cụ thể)', '– trao đổi cụ thể hơn khi phỏng vấn'];https://jobsgo.vn/viec-lam/nhan-vien-lap-trinh-web-wordpress-15419144606.html
Công Ty Cổ Phần Công Nghệ Flyer;16;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;['flyer is the first high-quality virtual interactive english testing platform for kids. we’re thrilled to build a global citizen qualification for vietnamese kids.we are looking for a specialist tester to join and build the next-generation web and native applications for our world-class flyer - english testing platform.- coordinate software testing processes, including creating and maintaining user acceptance testing documents.- write or modify existing testing plans, ions of testing results to facilitate it resolution of identified issues.- follow all established processes and procedures.- consistently meet or exceed expectations regarding the quality and quantity of work established by the company.- consistently meet attendance standards established by the company- interact appropriately with peers and other co-workers. contribute to building a positive team spirit.- perform other duties and projects as assigned.'];https://jobsgo.vn/viec-lam/junior-tester-15437177518.html
Công ty cổ phần phương tiện điện thông minh Selex;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['phát triển sản phẩm cho xe điện và hệ sinh thái tự động hóa, điều khiển tự động.', 'thiết kế hệ quản trị cơ sở dữ liệu quản lý thông tin khách hàng, thiết bị', 'thiết kế hệ thống xử lý dữ liệu iot sử dụng các công nghệ sql, no-sql, aws, azure, google cloud', 'phát triển hệ thống hiệu năng cao đáp ứng lượng truy cập lớn', 'thực hiện các nhiệm vụ khác khi được phân công', 'địa chỉ làm việc: số 56 ngõ 18 mạc thái tổ, cầu giấy, hà nội'];https://jobsgo.vn/viec-lam/thuc-tap-sinh-backend-java-15437734257.html
Công Ty TNHH Thương Mại Và Truyền Thông Vũ Long;25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['- thực hiện chuyển website từ html tĩnh sang website động bằng cms wordpress', '- lập trình plugin tính năng theo yêu cầu phát sinh', '- kết nối giữa cms wordpress và phần mềm thông qua rest api', '- triển khai các dự án, giải pháp thực tế cho khách hàng', '- phát triển các tính năng, chức năng hay ho, thực tế'];https://jobsgo.vn/viec-lam/nhan-vien-wordpress-developer-thu-nhap-upto-25-trieu-15424508311.html
JobsGO Recruit;14.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['– quản trị, vận hành hệ thống website của công ty, khắc phục khi có sự cố', '– quản lý domain, hosting, backup dữ liệu,…', '– thiết kế, xây dựng và phát triển website giới thiệu công ty, dịch vụ, website bán hàng,…', '– có thể code được website theo theme có sẵn hoặc code được theme mới mà không phụ thuộc nhiều vào plugin', '– phối hợp cùng seo trong việc phát triển website vệ tinh (pbn)', '– tối ưu tốc độ tải trang, thêm mới sửa đổi giao diện, module, tính năng web,… theo yêu cầu', '– code website sử dụng ngôn ngữ php-mysql, html/css/javascripts,…', '– hỗ trợ một số công việc cho seoer (sẽ được hướng dẫn cụ thể)', '– trao đổi cụ thể hơn khi phỏng vấn'];https://jobsgo.vn/viec-lam/nhan-vien-lap-trinh-web-wordpress-luong-tu-9-20-trieu-15421534510.html
JobsGO Recruit;14.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['– quản trị, vận hành hệ thống website của công ty, khắc phục khi có sự cố', '– quản lý domain, hosting, backup dữ liệu,…', '– thiết kế, xây dựng và phát triển website giới thiệu công ty, dịch vụ, website bán hàng,…', '– có thể code được website theo theme có sẵn hoặc code được theme mới mà không phụ thuộc nhiều vào plugin', '– phối hợp cùng seo trong việc phát triển website vệ tinh (pbn)', '– tối ưu tốc độ tải trang, thêm mới sửa đổi giao diện, module, tính năng web,… theo yêu cầu', '– code website sử dụng ngôn ngữ php-mysql, html/css/javascripts,…', '– hỗ trợ một số công việc cho seoer (sẽ được hướng dẫn cụ thể)', '– trao đổi cụ thể hơn khi phỏng vấn'];https://jobsgo.vn/viec-lam/nhan-vien-lap-trinh-web-wordpress-15419348291.html
JobsGO Recruit;14.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['– quản trị, vận hành hệ thống website của công ty, khắc phục khi có sự cố', '– quản lý domain, hosting, backup dữ liệu,…', '– thiết kế, xây dựng và phát triển website giới thiệu công ty, dịch vụ, website bán hàng,…', '– có thể code được website theo theme có sẵn hoặc code được theme mới mà không phụ thuộc nhiều vào plugin', '– phối hợp cùng seo trong việc phát triển website vệ tinh (pbn)', '– tối ưu tốc độ tải trang, thêm mới sửa đổi giao diện, module, tính năng web,… theo yêu cầu', '– code website sử dụng ngôn ngữ php-mysql, html/css/javascripts,…', '– hỗ trợ một số công việc cho seoer (sẽ được hướng dẫn cụ thể)', '– trao đổi cụ thể hơn khi phỏng vấn'];https://jobsgo.vn/viec-lam/nhan-vien-lap-trinh-web-wordpress-thu-nhap-tu-9-20-trieu-15420054399.html
Công Ty TNHH Giải Trí Horus;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;['mô tả công việc', '- lập trình game 3d trên nền tảng unity cho hệ điều hành android & ios.', '- hoàn thiện tính năng game theo design.', '- thực hiện cải thiện hiệu suất game để phù hợp với mobile.'];https://jobsgo.vn/viec-lam/lap-trinh-unity-3d-15417569442.html
CÔNG TY CỔ PHẦN SYNODUS;60;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;['chuẩn hóa lại quy trình làm việc của bộ phận chuyên môn.', 'hướng dẫn, đào tạo đội nhóm.', 'chịu trách nhiệm nghiên cứu và thiết kế giải pháp cho các sản phẩm', 'chịu trách nhiệm trong xây dựng, đề xuất các giải pháp để giúp sản phẩm, dự án được hoàn thành đúng thời gian', 'nghiên cứu công nghệ mới để áp dụng cho các dự án của công ty', 'tối ưu các service đảm bảo các yêu cầu về bảo mật, hiệu năng, và khả năng mở rộng', 'hỗ trợ presale ( r&d, estimate, pilot...) khi cần thiết', 'tham gia hỗ trợ các team dự án khác khi cần thiết', 'tham gia xây dựng khung dự án', 'review mã nguồn, thiết kế chi tiết, tài liệu kiến trúc dự án...', 'hỗ trợ tuyển dụng trong công ty.', 'chuẩn hóa lại quy trình làm việc của bộ phận chuyên môn.', 'hướng dẫn, đào tạo đội nhóm.', 'chịu trách nhiệm nghiên cứu và thiết kế giải pháp cho các sản phẩm', 'chịu trách nhiệm trong xây dựng, đề xuất các giải pháp để giúp sản phẩm, dự án được hoàn thành đúng thời gian', 'nghiên cứu công nghệ mới để áp dụng cho các dự án của công ty', 'tối ưu các service đảm bảo các yêu cầu về bảo mật, hiệu năng, và khả năng mở rộng', 'hỗ trợ presale ( r&d, estimate, pilot...) khi cần thiết', 'tham gia hỗ trợ các team dự án khác khi cần thiết', 'tham gia xây dựng khung dự án', 'review mã nguồn, thiết kế chi tiết, tài liệu kiến trúc dự án...', 'hỗ trợ tuyển dụng trong công ty.'];https://jobsgo.vn/viec-lam/nodejs-technical-leader-teamlead-senior-middle-15409557832.html
CÔNG TY CỔ PHẦN SYNODUS;40;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;['contribute to agile meetings (stand-up, planning, reviews, etc.) to understand user stories and acceptance criteria.', 'write and execute test scenarios to ensure acceptance criteria are met.', 'evaluate test results and accurately record defects.', 'responsible for the system integration test in product deployment phase of the development lifecycle, ensure product go-live with high quality.', 'produce clear and concise testing documentation.', 'strong communication and personal skills, ability to interact and work well with members of other functional groups in a project team.', 'research new technologies and new methods in testing domain, apply and promote them.', 'corporate with po, ba to clarify requirements and document specifications for the team.', 'decompose business requirements to produce test conditions, mapping the scenarios to test cases.', 'responsible for the maintenance of test packs specifically relating to test cases.', 'responsible for developing, executing, and maintaining test design, test scenarios, test cases', 'document and evaluate test results and defects, track and manage defects and work with development team and business to troubleshoot issues.', 'provide feedbacks on all test activity progress to the team/manager/leader.', 'provide support with running regression testing and production smoke tests.'];https://jobsgo.vn/viec-lam/tester-senior-15409612148.html
