Company;Salary;HN;HCM;else;Engineer;Manager;Dev;Administrator;Tester;Designer;Support;Analyst;Scientist;.NET;JavaScript;ASP.NET;iOS;Android;DevOps;AWS;Angular;Tester;QA QC;SQL;ERP;C++;Embedded;Oracle;Agile;Database;PHP;Drupal;Python;ReactJS;UI-UX;Cloud;React Native;Java;Spring;System;Linux;OpenStack;OOP;NodeJS;Unity;C#;Games;Azure;Data Analyst;Ruby;TypeScript;J2EE;VueJS;Kotlin;MySQL;Laravel;Networking;NoSQL;MVC;Golang;Blockchain;Automation Test;Ruby on Rails;Objective C;Swift;CSS;HTML5;Bridge;Solidity;Scala;Scrum;PostgreSql;Cocos;Django;SAP;COBOL;Flutter;AngularJS;Dart;JQuery;Magento;SAS;JSON;System;Years of experience;Bachelor;Experience level;QUALIFICATIONS;URL
CÔNG TY TNHH TOYO SYSTEM & NIKKOKU VIETNAM;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;['- có ít nhất 2 năm kinh nghiệm lập trình sử dụng ngôn ngữ c#\n', '- sử dụng thành thạo các hệ quản trị sql server\n', '- có kiến thức cơ bản tốt về: lập trình hướng đối tượng'];https://www.topcv.vn/viec-lam/lap-trinh-vien-ngon-ngu-c/1044553.html?ta_source=JobSearchList
Sisua Digital Vietnam;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;['• tốt nghiệp đại học ngành về kĩ thuật hoặc các lĩnh vực liên quan• trình độ tiếng anh và kỹ năng giao tiếp tốt, tự tin khi làm việc trực tiếp với khách hàng nước ngoài• tối thiểu 6 tháng kinh nghiệm về lập trình hoặc triển khai các dự án rpa• thành thạo một trong các ngôn ngữ lập trình: c#, vb.net• có khả năng làm việc độc lập cũng như làm việc theo nhóm, phân tích và giải quyết vấn đề• sẵn sàng học hỏi và tìm hiểu những kiến thức mới', <p><b>Ưu tiên các ứng viên có kinh nghiệm về RPA, UiPath, có các chứng chỉ của UiPath</b></p>];https://www.topcv.vn/viec-lam/rpa-developer-thu-nhap-hap-dan-co-co-hoi-lam-viec-tai-nuoc-ngoai/1046041.html?ta_source=JobSearchList
CÔNG TY TNHH KIN LONG VIỆT NAM;30.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;1;['- ưu tiên nam', '-\xa0 tối thiểu 3 năm kinh nghiệm trên các nền tảng multi-platform như react native , fullter … ưu tiên flutter', '-\xa0 có kinh nghiệm với getx, provider, bloc là một lợi thế\xa0', '-\xa0 có kinh nghiệm với api restful và các thư viện và api của bên thứ ba\xa0', '-\xa0 có khả năng làm việc độc lập hoặc theo nhóm.', '-\xa0 ưu tiên những ứng viên đã từng tham gia các dự án liên quan đến thương mại điện tử hoặc thanh toán điện tử', '-\xa0 có ít nhất 2 app mobile đang chạy thực tế trên chplay/appstore'];https://www.topcv.vn/viec-lam/mobile-dev-ios-android-react-native-flutter-uu-tien-nam/1037761.html?ta_source=JobSearchList
Công Ty TNHH LG CNS VIỆT NAM;49;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;['- có ít nhất 1 năm kinh nghiệm về java (ưu tiên kinh nghiệm cao)\n', '- có kinh nghiệm phát triển ứng dụng web\n', '-có kinh nghiệm lập trình java\n', '- phát triển dựa trên spring, spring boot f/w\n', '- phát triển api (rest api)\n', '- rdbms (mysql, postgresql) & sql\n', '- git, jira, confluence\n', '- hiểu và áp dụng ci/cd\n', '(ưu tiên)\n', 'có kinh nghiệm làm việc trong môi trường kubernetes, cloud (aws, gcp) sử dụng python\n', 'biết làm về go\n', 'có kinh nghiệm về tối ưu hóa sql\n', 'giao tiếp tiếng hàn', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n'];https://www.topcv.vn/viec-lam/java-engineer-kinh-nghiem-tu-3-nam-tro-len/1042835.html?ta_source=JobSearchList
AMIGO;25;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;['- đại học chuyên ngành cntt.- am hiểu về các giải pháp và cơ chế kiểm soát các phần mềm nghiệp vụ.- có kinh nghiệm về các hệ thống giám sát ứng dụng như apm, dynatrace, datadog, appdynamics….- có kiến thức về lập trình các ngôn ngữ net core, java…- có kiến thức về cơ sở dữ liệu: microsoft sql, mysql, oracle…- có khả năng sử dụng các hệ thống tìm kiếm, thu thập và phân tích log như elk, aws cloudwatch...- hiểu biết về máy chủ (linux/unix/window), web server, hệ thống mạng (tcp/ip, router, switch, firewall, ...)- có khả năng giao tiếp tốt bằng tiếng anh.- ưu tiên ứng viên có kinh nghiệm về các ứng dụng cloud-native và kiến trúc microservices- ưu tiên ứng viên đã có kinh nghiệm về vận hành ứng dụng core-banking- ưu tiên ứng viên hiểu biết nghiệp vụ tài chính/ngân hàng hoặc đã có kinh nghiệm lập trình ứng dụng.'];https://www.topcv.vn/viec-lam/ky-su-trien-khai-giai-phap-giam-sat-ung-dung/1046089.html?ta_source=JobSearchList
Cty Cổ Phần Warppipe;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;['có ít nhất 2 năm kinh nghiệm làm việc với javascript hoặc typescript nói chung.', 'hiểu biết về các một số giao thức http/http2 restful api, graphql, grpc, etc', 'biết thiết kế, tối ưu, sử dụng hệ quản trị csdl quan hệ như: mysql, postgresql…', 'có kinh nghiệm làm việc, thiết kế, tối ưu với nosql như: redis, mongodb, neo4j, cassandra, clickhouse, etc', 'từng sử dụng, làm việc, tối ưu với queue hoặc message broker như:: rabbitmq, mqtt, kafka, etc', 'thao tác tốt với công cụ quản lý phiên bản như: git, svn...', 'có kinh nghiệm làm việc với công cụ quản lý working & tracking: lark, trello, jira, etc ...', 'có kinh nghiệm triển khai, quản lý các mô hình service-oriented, microservice ứng dụng container.', 'khả năng giải quyết vấn đề.', 'có khả năng tiếp cận, học hỏi với các ngôn ngữ, công nghệ mới'];https://www.topcv.vn/viec-lam/lap-trinh-vien-back-end/1039844.html?ta_source=JobSearchList
Công ty ZIGExN VeNtura;26.5;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;"['1. education\n', '-\tgraduated from college/university in information technology/computer.\n', <p>-	At least 2 years experience as a Web Developer
</p>, <p>2. TECHNICAL EXPERIENCES
</p>, <p>● MUST HAVE
</p>, <p>-	Have knowledge about Python, Django, VueJS, JavaScript, NodeJS</p>, <p>-	Proficient in Javascript language, UI/UX, GIT, Linux.
</p>, <p>-	Experience in working with NodeJS, VueJS.
</p>, <p>-	Experience in working with Python (Django).
</p>, <p>-	Experience with PHP, Go is a plus.
</p>, <p>-	Experience in SQL/noSQL databases such as MySQL, PostgreSQL, Oracle, MongoDB, etc.
</p>, <p>-	Experience in working and configuring with Docker.
</p>, <p>-	Web/project architecture, design pattern, algorithms, code performance.
</p>, <p>-	Strong testing mindset.
</p>, <p>-	Strong analytical and problem-solving abilities, support other members and can do code reviews.
</p>, <p>-	Strong teamwork, interpersonal and communication skills.
</p>, <p>-	Good at time, task management skills.
</p>, <p>-	Excellent Problem Solving skills.
</p>, <p>-	Highly motivated, client service mindset.
</p>, <p>-	Willing to learn and “can-do” attitude
</p>, <p>● NICE TO HAVE
</p>, <p>-	Knowledge of working and configuring with Apache or Nginx Web Server.
</p>, <p>-	Knowledge of Elastics Search, Solr.
</p>, <p>-	Knowledge of Cloud services such as GCP, AWS.
</p>, <p>● LANGUAGE SKILLS
</p>, <p>-	Communicate basically in English (writing, reading)
</p>, <p><br/></p>, <p>
</p>, <p>
</p>, <p>
</p>]";https://www.topcv.vn/viec-lam/backend-developer-python-django-mvc-ha-noi-ho-chi-minh/1039495.html?ta_source=JobSearchList
Humax Vietnam;42;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;['1. work experience- > 1.5 years of experience in server-side back-end development.- expert knowledge of developing projects based on nodejs (nestjs/koajs)\xa0', '- strong background in javascript (es6)- experience with api gateway implementation (routing, authentication, authorization…)- familiarity with databases (e.g. mysql, mongodb, sql server), web servers, microservices.- a solid understanding of rest apis and api documentation with swagger- practical experience in data streaming or event-driven programming with node via rabbitmq, kafka, mqtt.- solid professional experience in using node.js unit testing frameworks (jest, mocha...)- knowledge in docker & kubernetes is a big plus- knowledge in front-end development (javascript/html/css) is a plus', '2. knowledge- [essential] have knowledge of oop, restful, design patterns.- [essential] know how to write clean and efficient code, review code- [essential] process of code versioning (svn, git)- [preference] knowledge of azure cloud or aws is a plus- [preference] knowledge of agile scrum development process is a plus- [preference] understanding of software development process and design.', '3. \xa0skills and attitude- good written english skill, verbal english communication is a big plus \xa0 \xa0 \xa0\xa0- willing to understand theory and principle- good problem-solving skills, thorough, sincere, responsible, understanding mindset- logical thinking required as an engineer.- experience working independently and as part of a team. active communication internally and externally- capable of self-learning and work with limited supervision \xa0\xa0- ability to travel (e.g. korea, etc.)'];https://www.topcv.vn/viec-lam/nodejs-developer-1-5-yr-exp-upto-42m/1038915.html?ta_source=JobSearchList
MINU PTE. LTD.;16.5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;['kinh nghiệm làm việc trong vai trò market/user research, ba, product owner', 'đã có kinh nghiệm làm việc với framework okr và phương pháp agile/scrum.', 'kỹ năng giao tiếp tốt và khả năng làm việc nhóm.', 'nhiệt tình, đam mê với khám phá sản phẩm mới', 'kỹ năng research.'];https://www.topcv.vn/viec-lam/product-owner-thu-nhap-13-20-trieu-discovery-manager/1041616.html?ta_source=JobSearchList
Humax Vietnam;45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;"[""bachelor's or master's degree in computer science, engineering, or a related field."", <li><strong>At least 2 years</strong> experienced in Android application development using either <strong>Java/Kotlin</strong>.</li>, <li>Proficient and good knowledge in <strong>OOP, Design Patterns</strong>.</li>, <li>Familiar with new technology such as <strong>Android Jetpack, Android Architecture Component</strong>.</li>, <li>Experience in working with <strong>Git/Jira/Gerrit/Jenkins/OpenGrok</strong> in a team environment.</li>, <li>Independent working and good team communication.</li>, <li>Logical thinking and good English skills.<br/> </li>, <li>Experience in pre-built apps, AOSP, especially Android Automotive(Car service, Car APIs,etc).</li>, <li>Experience in multi-process handling and inter-application communication((AIDL, IPC, Binder, Content Provider,etc).</li>, <li>Experience in developing service for one of the domains (e.g. AndroidAuto/CarPlay, Settings, Notification Center, Media, SystemUI, Home Launcher, Bluetooth, Camera, HardKey)</li>, <p><strong>Must have:</strong></p>, <p><strong>Nice to have</strong></p>, <p>Joining our team as an Android Developer will offer you exciting opportunities to work on cutting-edge projects in the automotive industry. You will have the chance to shape the future of in-vehicle infotainment, vehicle control, and connectivity solutions using the Android platform.</p>]";https://www.topcv.vn/viec-lam/android-developer-2-yr-exp-upto-45m/1039842.html?ta_source=JobSearchList
